row,column,marker,perturbation,timepoint,replicate,readout
B,2,MAPK8,GFP-N,0,1,GFP
B,3,PIK3CA,GFP-N,0,1,GFP
B,4,BRAF,GFP-N,0,1,GFP
B,5,MAP3K5,GFP-N,0,1,GFP
B,6,RPS6KB1,GFP-N,0,1,GFP
B,7,RPS6,GFP-N,0,1,GFP
B,8,PTPN11,GFP-N,0,1,GFP
B,9,HRAS,GFP-N,0,1,GFP
C,2,MAPK8,GFP-N,15,1,GFP
C,3,PIK3CA,GFP-N,15,1,GFP
C,4,BRAF,GFP-N,15,1,GFP
C,5,MAP3K5,GFP-N,15,1,GFP
C,6,RPS6KB1,GFP-N,15,1,GFP
C,7,RPS6,GFP-N,15,1,GFP
C,8,PTPN11,GFP-N,15,1,GFP
C,9,HRAS,GFP-N,15,1,GFP
D,2,MAPK8,FLAG-C,0,1,FLAG
D,3,PIK3CA,FLAG-C,0,1,FLAG
D,4,BRAF,FLAG-C,0,1,FLAG
D,5,MAP3K5,FLAG-C,0,1,FLAG
D,6,RPS6KB1,FLAG-C,0,1,FLAG
D,7,RPS6,FLAG-C,0,1,FLAG
D,8,PTPN11,FLAG-C,0,1,FLAG
D,9,HRAS,FLAG-C,0,1,FLAG
E,2,MAPK8,FLAG-C,15,1,FLAG
E,3,PIK3CA,FLAG-C,15,1,FLAG
E,4,BRAF,FLAG-C,15,1,FLAG
E,5,MAP3K5,FLAG-C,15,1,FLAG
E,6,RPS6KB1,FLAG-C,15,1,FLAG
E,7,RPS6,FLAG-C,15,1,FLAG
E,8,PTPN11,FLAG-C,15,1,FLAG
E,9,HRAS,FLAG-C,15,1,FLAG
F,2,MAPK8,FLAG-N,0,1,FLAG
F,3,PIK3CA,FLAG-N,0,1,FLAG
F,4,BRAF,FLAG-N,0,1,FLAG
F,5,MAP3K5,FLAG-N,0,1,FLAG
F,6,RPS6KB1,FLAG-N,0,1,FLAG
F,7,RPS6,FLAG-N,0,1,FLAG
F,8,PTPN11,FLAG-N,0,1,FLAG
F,9,HRAS,FLAG-N,0,1,FLAG
G,2,MAPK8,FLAG-N,15,1,FLAG
G,3,PIK3CA,FLAG-N,15,1,FLAG
G,4,BRAF,FLAG-N,15,1,FLAG
G,5,MAP3K5,FLAG-N,15,1,FLAG
G,6,RPS6KB1,FLAG-N,15,1,FLAG
G,7,RPS6,FLAG-N,15,1,FLAG
G,8,PTPN11,FLAG-N,15,1,FLAG
G,9,HRAS,FLAG-N,15,1,FLAG
