row,column,marker,perturbation,timepoint,replicate,readout
B,2,SRC,GFP-N,0,1,GFP
B,3,PDPK1,GFP-N,0,1,GFP
B,4,AKT1,GFP-N,0,1,GFP
B,5,MAP2K7,GFP-N,0,1,GFP
B,6,MAP2K6,GFP-N,0,1,GFP
B,7,MAPK14,GFP-N,0,1,GFP
B,8,RPS6KA1,GFP-N,0,1,GFP
C,2,SRC,GFP-N,15,1,GFP
C,3,PDPK1,GFP-N,15,1,GFP
C,4,AKT1,GFP-N,15,1,GFP
C,5,MAP2K7,GFP-N,15,1,GFP
C,6,MAP2K6,GFP-N,15,1,GFP
C,7,MAPK14,GFP-N,15,1,GFP
C,8,RPS6KA1,GFP-N,15,1,GFP
D,2,SRC,FLAG-C,0,1,FLAG
D,3,PDPK1,FLAG-C,0,1,FLAG
D,4,AKT1,FLAG-C,0,1,FLAG
D,5,MAP2K7,FLAG-C,0,1,FLAG
D,6,MAP2K6,FLAG-C,0,1,FLAG
D,7,MAPK14,FLAG-C,0,1,FLAG
D,8,RPS6KA1,FLAG-C,0,1,FLAG
E,2,SRC,FLAG-C,15,1,FLAG
E,3,PDPK1,FLAG-C,15,1,FLAG
E,4,AKT1,FLAG-C,15,1,FLAG
E,5,MAP2K7,FLAG-C,15,1,FLAG
E,6,MAP2K6,FLAG-C,15,1,FLAG
E,7,MAPK14,FLAG-C,15,1,FLAG
E,8,RPS6KA1,FLAG-C,15,1,FLAG
F,2,SRC,FLAG-N,0,1,FLAG
F,3,PDPK1,FLAG-N,0,1,FLAG
F,4,AKT1,FLAG-N,0,1,FLAG
F,5,MAP2K7,FLAG-N,0,1,FLAG
F,6,MAP2K6,FLAG-N,0,1,FLAG
F,7,MAPK14,FLAG-N,0,1,FLAG
F,8,RPS6KA1,FLAG-N,0,1,FLAG
G,2,SRC,FLAG-N,15,1,FLAG
G,3,PDPK1,FLAG-N,15,1,FLAG
G,4,AKT1,FLAG-N,15,1,FLAG
G,5,MAP2K7,FLAG-N,15,1,FLAG
G,6,MAP2K6,FLAG-N,15,1,FLAG
G,7,MAPK14,FLAG-N,15,1,FLAG
G,8,RPS6KA1,FLAG-N,15,1,FLAG
