row,column,marker,perturbation,timepoint,replicate
B,2,MAP8,EGF,0,1
B,3,KRAS,EGF,0,1
B,4,MAP8,EGF,5,1
B,5,KRAS,EGF,5,1
B,6,MAP8,EGF,15,1
B,7,KRAS,EGF,15,1
B,8,MAP8,EGF,30,1
B,9,KRAS,EGF,30,1
B,10,MAP8,EGF,60,1
B,11,KRAS,EGF,60,1
C,2,PIK3CA,EGF,0,1
C,3,HRAS,EGF,0,1
C,4,PIK3CA,EGF,5,1
C,5,HRAS,EGF,5,1
C,6,PIK3CA,EGF,15,1
C,7,HRAS,EGF,15,1
C,8,PIK3CA,EGF,30,1
C,9,HRAS,EGF,30,1
C,10,PIK3CA,EGF,60,1
C,11,HRAS,EGF,60,1
D,2,BRAF,EGF,0,1
D,3,PTPN11,EGF,0,1
D,4,BRAF,EGF,5,1
D,5,PTPN11,EGF,5,1
D,6,BRAF,EGF,15,1
D,7,PTPN11,EGF,15,1
D,8,BRAF,EGF,30,1
D,9,PTPN11,EGF,30,1
D,10,BRAF,EGF,60,1
D,11,PTPN11,EGF,60,1
E,2,MAP3K5,EGF,0,1
E,3,RPS6,EGF,0,1
E,4,MAP3K5,EGF,5,1
E,5,RPS6,EGF,5,1
E,6,MAP3K5,EGF,15,1
E,7,RPS6,EGF,15,1
E,8,MAP3K5,EGF,30,1
E,9,RPS6,EGF,30,1
E,10,MAP3K5,EGF,60,1
E,11,RPS6,EGF,60,1
F,2,RPS6KB1,EGF,0,1
F,3,GFP-FLAG-2,EGF,0,1
F,4,RPS6KB1,EGF,5,1
F,5,GFP-FLAG-2,EGF,5,1
F,6,RPS6KB1,EGF,15,1
F,7,GFP-FLAG-2,EGF,15,1
F,8,RPS6KB1,EGF,30,1
F,9,GFP-FLAG-2,EGF,30,1
F,10,RPS6KB1,EGF,60,1
F,11,GFP-FLAG-2,EGF,60,1
G,2,MAP2K1,EGF,0,1
G,3,empty-2,EGF,0,1
G,4,MAP2K1,EGF,5,1
G,5,empty-2,EGF,5,1
G,6,MAP2K1,EGF,15,1
G,7,empty-2,EGF,15,1
G,8,MAP2K1,EGF,30,1
G,9,empty-2,EGF,30,1
G,10,MAP2K1,EGF,60,1
G,11,empty-2,EGF,60,1
